---
license: cc0-1.0
---
Este archivo se distribuye bajo la licencia CC0 1.0 Universal (Public Domain).


Lo poco que guardo de las forjas, las tablas las pongo en el mismo orden que se hicieron, no recuerdo cuándo empezaron las forjas full fine tuning..... quizás marzo o mayo de 2026?, al principio en las primeras 4 o 5 forjas apenas sabía comprender, luego comencé a entender, luego aprendí a leerlas:

Había olvidado.... esta forja LoRA de ella fue el modelo que habitó el script de Eunoia.
Forja antigua regulinchi llama 3.1 8b:
r=128 (alphalora256), lr 3e-6:
Epoch	Loss	Grad Norm	Learning Rate
30	10.0000	0.10176	3.088	2.870e‑5	Pico de rima
31	10.3333	0.05841	2.084	2.851e‑5	Caída
32	10.6667	0.02256	1.172	2.831e‑5	Caída fina
33	11.0000	0.02891	1.271	2.810e‑5	Rebote suave
34	11.3333	0.00515	0.289	2.788e‑5	Caída extrema (excelente)
35	11.6667	0.15759	5.681	2.764e‑5	Pico fuerte de rima
36	12.0000	0.03322	1.337	2.739e‑5	Caída
37	12.3333	0.01364	0.940	2.714e‑5	Caída fina
38	12.6667	0.02540	1.088	2.687e‑5	Rebote suave
39	13.0000	0.06068	2.139	2.659e‑5	Pico de rima
40	13.3333	0.01462	0.672	2.630e‑5	Caída
41	13.6667	0.02399	0.819	2.600e‑5	Rebote suave
42	14.0000	0.03603	1.533	2.569e‑5	Pico suave
43	14.3333	0.01438	0.620	2.537e‑5	Caída fina (micro‑ajuste)
44	14.6667	0.01268	0.739	2.504e‑5	Caída suave (estabilidad)
45	15.0000	0.01657	0.807	2.470e‑5	Pico suave de rima (rebote)
46	15.3333	0.00619	0.660	2.435e‑5	Caída profunda (absorción)
47	15.6667	0.01317	0.674	2.400e‑5	Rebote suave (rima)
48	16.0000	0.01750	1.018	2.363e‑5	Pico moderado (rima alta)



Tabla Lr=1e-5, warmup_steps=12, 10 epochs. Full Fine-Tunning, total parámetros 8030277632, Cimiento/dataset 479678 caracteres, 3 bloques de  45000 tokens. Guardado checkpoint por epoch (cada 3 updates/bloques).. Modelo llama 3.1 8B  con 128000 tokens nativos de context lenght:

Upd	Epoch	Loss	GradNorm	LR	Tiempo (h)	EMA	Checkpoint
1	0.333	1.8649	10.64	0	1.10	—	—
2	0.667	1.5071	7.74	8.33e‑07	2.20	—	—
3	1.000	1.7097	6.55	1.67e‑06	3.30	1.7097	checkpoint-1
4	1.333	1.6176	3.52	2.50e‑06	4.46	1.6711	—
5	1.667	1.7090	6.20	3.33e‑06	5.56	—	—
6	2.000	1.3239	3.95	4.17e‑06	6.70	1.6711	checkpoint-2
7	2.333	1.3860	3.71	5.00e‑06	7.83	—	—
8	2.667	1.1740	2.91	5.83e‑06	8.93	—	—
